"","tr_auc","te_auc","iter","cancer_type","agg_level","win_len","type","type1"
"69",0.869962198313463,0.677002583979328,9,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"70",0.881477173596976,0.678848283499446,10,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"71",0.841698168072114,0.69859726836471,11,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"72",0.85184646699622,0.669804355850868,12,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"73",0.84675777842396,0.661498708010336,13,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"74",0.873771445187555,0.62827611664821,14,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"75",0.851061355045071,0.713732004429679,15,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"76",0.852922361151497,0.585640457733481,16,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"77",0.859464960744402,0.695828719084533,17,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"78",0.862227391683629,0.632521225544481,18,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"79",0.865571387031114,0.621262458471761,19,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"80",0.875399825530678,0.553156146179402,20,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"81",0.860802558883396,0.725729051310447,21,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"82",0.864379179994184,0.64765596160945,22,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"83",0.820732771154405,0.798080472499077,23,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"84",0.878598429776098,0.613325950535253,24,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
